dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
adversarial_squad,optb-lora,optb-adapter,**,0.004,optb-adapter,64.53,optb-lora,61.77
adversarial_squad,optb-plain,optb-adapter,***,0.0,optb-plain,78.58,optb-adapter,64.53
adversarial_squad,optl-adapter,bertbc-adapter,***,0.0,optl-adapter,78.99,bertbc-adapter,45.51
adversarial_squad,optl-adapter,bertbc-lora,***,0.0,optl-adapter,78.99,bertbc-lora,17.88
adversarial_squad,optl-adapter,bertbc-plain,***,0.0,optl-adapter,78.99,bertbc-plain,61.84
adversarial_squad,optl-adapter,bertlc-adapter,***,0.0,optl-adapter,78.99,bertlc-adapter,64.27
adversarial_squad,optl-adapter,bertlc-lora,***,0.0,optl-adapter,78.99,bertlc-lora,46.26
adversarial_squad,optl-adapter,bertlc-plain,***,0.0,optl-adapter,78.99,bertlc-plain,72.47
adversarial_squad,optl-adapter,optb-adapter,***,0.0,optl-adapter,79.02,optb-adapter,64.53
adversarial_squad,optl-adapter,optb-lora,***,0.0,optl-adapter,79.02,optb-lora,61.77
adversarial_squad,optl-adapter,optb-plain,,0.343,optl-adapter,79.02,optb-plain,78.58
adversarial_squad,optl-lora,optb-adapter,***,0.0,optl-lora,78.98,optb-adapter,64.53
adversarial_squad,optl-lora,optl-adapter,,0.469,optl-adapter,79.02,optl-lora,78.98
adversarial_squad,optl-plain,optb-adapter,***,0.0,optl-plain,81.59,optb-adapter,64.53
adversarial_squad,optl-plain,optl-adapter,**,0.009,optl-plain,81.59,optl-adapter,79.02
adversarial_squad,rb-adapter,optb-adapter,,0.254,optb-adapter,64.53,rb-adapter,63.51
adversarial_squad,rb-adapter,optl-adapter,***,0.0,optl-adapter,79.02,rb-adapter,63.51
adversarial_squad,rb-lora,optb-adapter,***,0.0,optb-adapter,64.53,rb-lora,50.25
adversarial_squad,rb-lora,optl-adapter,***,0.0,optl-adapter,79.02,rb-lora,50.25
adversarial_squad,rb-plain,optb-adapter,***,0.0,rb-plain,72.99,optb-adapter,64.53
adversarial_squad,rb-plain,optl-adapter,***,0.0,optl-adapter,79.02,rb-plain,72.99
adversarial_squad,rl-adapter,optb-adapter,***,0.0,rl-adapter,82.46,optb-adapter,64.53
adversarial_squad,rl-adapter,optl-adapter,**,0.004,rl-adapter,82.46,optl-adapter,79.02
adversarial_squad,rl-lora,optb-adapter,***,0.0,rl-lora,70.73,optb-adapter,64.53
adversarial_squad,rl-lora,optl-adapter,***,0.0,optl-adapter,79.02,rl-lora,70.73
adversarial_squad,rl-plain,optb-adapter,***,0.0,rl-plain,84.11,optb-adapter,64.53
adversarial_squad,rl-plain,optl-adapter,***,0.0,rl-plain,84.11,optl-adapter,79.02
adversarial_squad,t5b-adapter,optb-adapter,***,0.0,t5b-adapter,74.21,optb-adapter,64.58
adversarial_squad,t5b-adapter,optl-adapter,***,0.0,optl-adapter,78.98,t5b-adapter,74.21
adversarial_squad,t5b-lora,optb-adapter,***,0.0,t5b-lora,69.76,optb-adapter,64.58
adversarial_squad,t5b-lora,optl-adapter,***,0.0,optl-adapter,78.98,t5b-lora,69.76
adversarial_squad,t5b-plain,optb-adapter,***,0.0,t5b-plain,74.75,optb-adapter,64.58
adversarial_squad,t5b-plain,optl-adapter,**,0.001,optl-adapter,78.98,t5b-plain,74.75
adversarial_squad,t5l-adapter,optb-adapter,***,0.0,t5l-adapter,82.26,optb-adapter,64.58
adversarial_squad,t5l-adapter,optl-adapter,**,0.006,t5l-adapter,82.26,optl-adapter,78.98
adversarial_squad,t5l-lora,optb-adapter,***,0.0,t5l-lora,79.62,optb-adapter,64.58
adversarial_squad,t5l-lora,optl-adapter,,0.329,t5l-lora,79.62,optl-adapter,78.98
adversarial_squad,t5l-plain,optb-adapter,***,0.0,t5l-plain,84.15,optb-adapter,64.58
adversarial_squad,t5l-plain,optl-adapter,***,0.0,t5l-plain,84.15,optl-adapter,78.98
musique,optb-adapter,bertbc-adapter,,0.404,bertbc-adapter,41.2,optb-adapter,40.49
musique,optb-adapter,bertbc-lora,***,0.0,optb-adapter,40.49,bertbc-lora,12.85
musique,optb-adapter,bertbc-plain,**,0.001,bertbc-plain,50.18,optb-adapter,40.49
musique,optb-adapter,bertlc-adapter,**,0.001,bertlc-adapter,50.25,optb-adapter,40.49
musique,optb-adapter,bertlc-lora,,0.133,optb-adapter,40.49,bertlc-lora,37.04
musique,optb-adapter,bertlc-plain,***,0.0,bertlc-plain,62.24,optb-adapter,40.49
