tgt_acc,src_acc,Gen_type,NSD,arch,ft,size
52.937554966619444,77.60637814157137,OOD,-0.31787107922947366,eo,adapter,base
65.14903187027619,87.47782446342907,OOD,-0.2552508904983988,ed,lora,base
58.539357044821976,83.35631440930852,OOD,-0.29772138488065397,do,lora,large
63.09562066887851,87.77515214797675,OOD,-0.2811676297352578,eo,plain,base
69.47107192979944,93.61821056696789,OOD,-0.2579320678202377,ed,adapter,large
66.18101196113082,90.62855198636593,OOD,-0.26975538601690313,eo,plain,large
42.109768651022335,66.69254253782303,OOD,-0.3685985411766118,eo,lora,large
69.52439608673976,94.6242475615862,OOD,-0.2652581354320435,eo,plain,large
67.55234642892391,90.93436282305721,OOD,-0.25713070030116914,ed,plain,base
52.63726097551452,88.3214117222567,OOD,-0.4040260459033162,eo,lora,large
68.00930494721108,93.29755702371244,OOD,-0.2710494559903012,eo,adapter,large
57.54901352911641,83.61725441909708,OOD,-0.31175671900591645,do,plain,base
69.5090570249006,93.85120375940836,OOD,-0.2593695739578356,ed,plain,large
54.7681885950789,88.64243081975565,OOD,-0.3821447800044675,eo,lora,large
53.72603764792968,83.40135071825038,OOD,-0.3558133389298571,do,adapter,large
69.49101756650921,92.69732962174479,OOD,-0.250344989978998,ed,lora,large
69.91867730139377,93.82653220057581,OOD,-0.2548091071731554,ed,plain,large
62.55088554156523,91.95628825103338,OOD,-0.31977587687308273,eo,plain,base
52.87654108823021,78.1528037955925,OOD,-0.3234210607910112,eo,adapter,base
63.4419600008635,86.0867300543667,OOD,-0.26304600069258355,do,plain,large
65.26862512765885,87.30220224434717,OOD,-0.2523828328524782,ed,lora,base
48.87859616435733,75.6014767047343,OOD,-0.35347035144226924,do,adapter,base
12.765993634220724,21.68103296371341,OOD,-0.4111907096130242,eo,lora,base
47.87216604267739,72.3896885769932,OOD,-0.33868805096791,do,lora,base
60.10593962508277,85.63786820566877,OOD,-0.298138301612883,eo,adapter,large
67.40339896436026,90.30580294286501,OOD,-0.25360943850966833,ed,adapter,base
53.775014094081506,85.7776952953893,OOD,-0.37308861110223823,eo,adapter,base
43.60360113496821,78.75401392527027,OOD,-0.4463316983900822,eo,lora,base
58.997469206973456,83.66355108237596,OOD,-0.29482470629433405,do,lora,large
61.56335920273714,87.50124661771292,OOD,-0.2964287757898659,eo,plain,base
67.14383014216496,90.76946892684867,OOD,-0.26028177826757665,ed,plain,base
65.6290447502971,93.3561084556863,OOD,-0.2970032080819919,eo,adapter,large
55.54815880894656,89.25076409365548,OOD,-0.37761699439730306,eo,lora,large
58.60876392043443,83.314058172203,OOD,-0.296532119473821,do,plain,base
55.94874600213006,83.64520337588505,OOD,-0.33111829795299286,do,adapter,large
69.86541548794234,92.76894827560295,OOD,-0.24688792115673844,ed,lora,large
70.1754271434759,93.90556845561905,OOD,-0.2527021741352677,ed,plain,large
63.40123674822854,92.00719444864934,OOD,-0.3109100095035094,eo,plain,base
52.40081268385432,77.52072033581055,OOD,-0.3240412052821462,eo,adapter,base
63.87325426398534,87.86478777757003,OOD,-0.2730506056000423,ed,lora,base
61.22618029427138,86.01140432440064,OOD,-0.288162066702798,do,plain,large
11.427506817815221,20.81981565697822,OOD,-0.45112353509311504,eo,lora,base
48.614019291660235,74.98816950434649,OOD,-0.3517108150127274,do,adapter,base
48.11995941958333,72.40959757259958,OOD,-0.33544777166677225,do,lora,base
60.484219828516665,85.46675845756376,OOD,-0.29230708031885294,eo,adapter,large
43.82164901181494,79.09854163491791,OOD,-0.44598663760356927,eo,lora,base
55.71113107694049,85.8246279167004,OOD,-0.3508724426861185,eo,adapter,base
