tgt_acc,src_acc,Gen_type,NSD,arch,ft,size
0.8340798045602605,0.8340798045602605,A,0.0,do,lora,large
0.8891490228013029,0.8891490228013029,A,0.0,eo,adapter,large
0.8850773615635179,0.8850773615635179,A,0.0,do,adapter,large
0.9048249185667753,0.9048249185667753,A,0.0,ed,lora,large
0.88314332247557,0.88314332247557,A,0.0,eo,adapter,base
0.851078990228013,0.851078990228013,A,0.0,do,adapter,base
0.8562703583061889,0.8562703583061889,A,0.0,eo,lora,large
0.9085912052117264,0.9085912052117264,A,0.0,eo,lora,large
0.8865024429967426,0.8865024429967426,A,0.0,ed,adapter,base
0.9057410423452769,0.9057410423452769,A,0.0,eo,plain,base
0.8982084690553745,0.8982084690553745,A,0.0,do,plain,large
0.8716408794788274,0.8716408794788274,A,0.0,eo,lora,base
0.8499592833876222,0.8499592833876222,A,0.0,eo,adapter,base
0.9169381107491856,0.9169381107491856,A,0.0,eo,adapter,large
0.9178542345276873,0.9178542345276873,A,0.0,ed,adapter,large
0.8947475570032574,0.8947475570032574,A,0.0,do,plain,base
0.9074714983713354,0.9074714983713354,A,0.0,eo,lora,large
0.9213151465798045,0.9213151465798045,A,0.0,ed,plain,large
0.9139861563517915,0.9139861563517915,A,0.0,eo,plain,base
0.8175895765472313,0.8175895765472313,A,0.0,do,lora,base
0.8645154723127035,0.8645154723127035,A,0.0,eo,lora,large
0.9067589576547231,0.9067589576547231,A,0.0,do,plain,large
0.9069625407166124,0.9069625407166124,A,0.0,eo,plain,base
0.8580008143322475,0.8580008143322475,A,0.0,ed,lora,base
0.8159609120521173,0.8159609120521173,A,0.0,eo,lora,base
0.9174470684039088,0.9174470684039088,A,0.0,eo,adapter,large
0.8968851791530945,0.8968851791530945,A,0.0,ed,plain,base
0.9259975570032574,0.9259975570032574,A,0.0,eo,plain,large
0.852707654723127,0.852707654723127,A,0.0,eo,adapter,base
0.9115431596091205,0.9115431596091205,A,0.0,eo,plain,large
0.8969869706840391,0.8969869706840391,A,0.0,do,plain,base
0.8633957654723127,0.8633957654723127,A,0.0,do,lora,large
0.8844666123778502,0.8844666123778502,A,0.0,do,adapter,large
0.9048249185667753,0.9048249185667753,A,0.0,ed,lora,large
0.9041123778501629,0.9041123778501629,A,0.0,eo,plain,base
0.8862988599348535,0.8862988599348535,A,0.0,ed,adapter,base
0.9210097719869706,0.9210097719869706,A,0.0,ed,plain,large
0.7947882736156352,0.7947882736156352,A,0.0,do,lora,base
0.9146986970684039,0.9146986970684039,A,0.0,eo,plain,base
0.8458876221498371,0.8458876221498371,A,0.0,do,adapter,base
0.8642100977198697,0.8642100977198697,A,0.0,eo,lora,large
0.8585097719869706,0.8585097719869706,A,0.0,ed,lora,base
0.8099552117263844,0.8099552117263844,A,0.0,eo,lora,base
0.9182614006514658,0.9182614006514658,A,0.0,ed,adapter,large
0.8968851791530945,0.8968851791530945,A,0.0,ed,plain,base
0.9106270358306189,0.9106270358306189,A,0.0,eo,plain,large
0.8714372964169381,0.8714372964169381,A,0.0,eo,lora,base
0.8514861563517915,0.8514861563517915,A,0.0,eo,adapter,base
0.926099348534202,0.926099348534202,A,0.0,eo,plain,large
0.8895561889250815,0.8895561889250815,A,0.0,eo,adapter,large
0.8840594462540716,0.8840594462540716,A,0.0,eo,adapter,base
0.8895561889250815,0.8895561889250815,A,0.0,do,adapter,large
0.8097516286644951,0.8097516286644951,A,0.0,do,lora,large
0.8856881107491856,0.8856881107491856,A,0.0,eo,adapter,large
0.8817182410423453,0.8817182410423453,A,0.0,eo,adapter,base
0.905435667752443,0.905435667752443,A,0.0,ed,lora,large
0.9057410423452769,0.9057410423452769,A,0.0,do,plain,large
0.7307614006514658,0.7307614006514658,A,0.0,do,lora,base
0.9144951140065146,0.9144951140065146,A,0.0,eo,plain,base
0.7857288273615635,0.7857288273615635,A,0.0,do,adapter,base
0.9075732899022801,0.9075732899022801,A,0.0,eo,lora,large
0.8860952768729642,0.8860952768729642,A,0.0,ed,adapter,base
0.9195846905537459,0.9195846905537459,A,0.0,ed,plain,large
0.8967833876221498,0.8967833876221498,A,0.0,do,plain,base
0.9258957654723127,0.9258957654723127,A,0.0,eo,plain,large
0.9098127035830619,0.9098127035830619,A,0.0,eo,plain,large
0.870928338762215,0.870928338762215,A,0.0,eo,lora,base
0.8582043973941368,0.8582043973941368,A,0.0,ed,lora,base
0.8137214983713354,0.8137214983713354,A,0.0,eo,lora,base
0.9181596091205212,0.9181596091205212,A,0.0,ed,adapter,large
0.8980048859934854,0.8980048859934854,A,0.0,ed,plain,base
0.9166327361563518,0.9166327361563518,A,0.0,eo,adapter,large
0.5683482506102523,0.8458876221498371,OOD,-0.32810430637844545,do,adapter,base
0.7339300244100895,0.9041123778501629,OOD,-0.18823141636965557,eo,plain,base
0.8712367778681855,0.9213151465798045,OOD,-0.05435530816737872,ed,plain,large
0.7588486574450773,0.9106270358306189,OOD,-0.16667457961765705,eo,plain,large
0.6799227013832384,0.852707654723127,OOD,-0.20263093966945994,eo,adapter,base
0.8072620016273393,0.8968851791530945,OOD,-0.09992714743082728,ed,plain,base
0.6733116354759967,0.8633957654723127,OOD,-0.220158747121411,do,lora,large
0.7507119609438568,0.8714372964169381,OOD,-0.13853588315471912,eo,lora,base
0.8717453213995118,0.9048249185667753,OOD,-0.03655911380033711,ed,lora,large
0.8538445890968267,0.9182614006514658,OOD,-0.07015084322278842,ed,adapter,large
0.8340113913751017,0.9174470684039088,OOD,-0.09094331422733834,eo,adapter,large
0.6107607811228641,0.8159609120521173,OOD,-0.2514827951907414,eo,lora,base
0.6873474369406021,0.8642100977198697,OOD,-0.2046523886331596,eo,lora,large
0.8017697314890154,0.8862988599348535,OOD,-0.09537316617111667,ed,adapter,base
0.5844182262001627,0.8175895765472313,OOD,-0.28519364365159383,do,lora,base
0.8589300244100895,0.9181596091205212,OOD,-0.0645090288464835,ed,adapter,large
0.8780512611879577,0.9048249185667753,OOD,-0.029589876261615872,ed,lora,large
0.7016883645240033,0.8895561889250815,OOD,-0.21119275739972446,do,adapter,large
0.8297396257119609,0.9169381107491856,OOD,-0.09509745970311896,eo,adapter,large
0.8032953620829943,0.8860952768729642,OOD,-0.09344357988474022,ed,adapter,base
0.7232506102522376,0.8891490228013029,OOD,-0.1865811110340032,eo,adapter,large
0.5564483319772172,0.7857288273615635,OOD,-0.2918061389630545,do,adapter,base
0.8049227013832384,0.8580008143322475,OOD,-0.06186254379061164,ed,lora,base
0.7556956875508544,0.88314332247557,OOD,-0.144311383759844,eo,adapter,base
0.8421480878763222,0.9259975570032574,OOD,-0.0905504215349028,eo,plain,large
0.733319772172498,0.8967833876221498,OOD,-0.18227770240378882,do,plain,base
0.8180431244914564,0.9075732899022801,OOD,-0.0986478628304096,eo,lora,large
0.7652563059397884,0.9098127035830619,OOD,-0.15888588615434307,eo,plain,large
0.674633848657445,0.8340798045602605,OOD,-0.19116390905409564,do,lora,large
0.7494914564686738,0.870928338762215,OOD,-0.13943383960399122,eo,lora,base
0.7987184703010578,0.9139861563517915,OOD,-0.1261153522399385,eo,plain,base
0.681346623270952,0.8499592833876222,OOD,-0.1983773380821758,eo,adapter,base
0.7773596419853539,0.9057410423452769,OOD,-0.14174183829353598,do,plain,large
0.825366151342555,0.9166327361563518,OOD,-0.0995672325608817,eo,adapter,large
0.690500406834825,0.8850773615635179,OOD,-0.21984174850542595,do,adapter,large
0.6102522375915378,0.8137214983713354,OOD,-0.2500477880786505,eo,lora,base
0.8526240846216436,0.9178542345276873,OOD,-0.07106809278884034,ed,adapter,large
0.5278681855166802,0.7307614006514658,OOD,-0.2776463219785671,do,lora,base
0.7432872253864931,0.8856881107491856,OOD,-0.160779944581438,eo,adapter,large
0.8052278275020341,0.8865024429967426,OOD,-0.09168008067746196,ed,adapter,base
0.701586655817738,0.8562703583061889,OOD,-0.18064820414247995,eo,lora,large
0.735353946297803,0.9057410423452769,OOD,-0.1881189965801734,eo,plain,base
0.8667615947925142,0.9195846905537459,OOD,-0.05744233924710427,ed,plain,large
0.8435720097640358,0.926099348534202,OOD,-0.08911283535701389,eo,plain,large
0.7158258746948739,0.8947475570032574,OOD,-0.19996889726934688,do,plain,base
0.8197721724979659,0.9085912052117264,OOD,-0.09775466921129104,eo,lora,large
0.6002847843775427,0.851078990228013,OOD,-0.29467794262349245,do,adapter,base
0.8106183889340928,0.8585097719869706,OOD,-0.05578431907890352,ed,lora,base
0.7635272579332791,0.8817182410423453,OOD,-0.13404620388633873,eo,adapter,base
0.6008950366151342,0.8097516286644951,OOD,-0.25792673290922963,do,lora,large
0.8087876322213181,0.8980048859934854,OOD,-0.09935052154361497,ed,plain,base
0.7473555736371034,0.8716408794788274,OOD,-0.14258774314949163,eo,lora,base
0.8010577705451587,0.9146986970684039,OOD,-0.12423864479906085,eo,plain,base
0.7691212367778681,0.8982084690553745,OOD,-0.14371633838329817,do,plain,large
0.8439788445890968,0.9258957654723127,OOD,-0.08847315641564567,eo,plain,large
0.8160089503661514,0.9074714983713354,OOD,-0.10078834229982368,eo,lora,large
0.737286411716843,0.8969869706840391,OOD,-0.1780411134014679,do,plain,base
0.738506916192026,0.9069625407166124,OOD,-0.1857360331458515,eo,plain,base
0.86706672091131,0.9210097719869706,OOD,-0.05856946659673855,ed,plain,large
0.758746948738812,0.8840594462540716,OOD,-0.14174668688427297,eo,adapter,base
0.8101098454027664,0.8582043973941368,OOD,-0.056040906032881324,ed,lora,base
0.7973962571196095,0.9144951140065146,OOD,-0.12804754786920705,eo,plain,base
0.6797192839707079,0.8514861563517915,OOD,-0.20172597181969695,eo,adapter,base
0.7739015459723352,0.9067589576547231,OOD,-0.14651899555094064,do,plain,large
0.8109235150528885,0.8968851791530945,OOD,-0.09584467008516896,ed,plain,base
0.7609845402766476,0.9115431596091205,OOD,-0.16516894207953245,eo,plain,large
0.6832790886899919,0.8844666123778502,OOD,-0.22746762949816088,do,adapter,large
0.6132017900732303,0.8099552117263844,OOD,-0.24291889082827522,eo,lora,base
0.8761187957689178,0.905435667752443,OOD,-0.032378746527954055,ed,lora,large
0.7299633848657445,0.8895561889250815,OOD,-0.17940722131581716,eo,adapter,large
0.5589910496338486,0.7947882736156352,OOD,-0.29667929410823146,do,lora,base
0.685720097640358,0.8645154723127035,OOD,-0.2068157024350786,eo,lora,large
0.7255,0.8585097719869706,ROB,-0.154930993597344,ed,lora,base
0.685,0.8097516286644951,ROB,-0.15406159648020107,do,lora,large
0.758,0.9057410423452769,ROB,-0.16311620588896378,do,plain,large
0.8095,0.9213151465798045,ROB,-0.1213647110816484,ed,plain,large
0.7275,0.8817182410423453,ROB,-0.17490648810898174,eo,adapter,base
0.792,0.9169381107491856,ROB,-0.13625577264653635,eo,adapter,large
0.7415,0.8967833876221498,ROB,-0.17315595913734386,do,plain,base
0.756,0.8968851791530945,ROB,-0.15708273748723192,ed,plain,base
0.802,0.9181596091205212,ROB,-0.12651352549889133,ed,adapter,large
0.7175,0.870928338762215,ROB,-0.17616643291257594,eo,lora,base
0.758,0.9041123778501629,ROB,-0.1616086467011934,eo,plain,base
0.7315,0.8856881107491856,ROB,-0.17408849557522116,eo,adapter,large
0.6005,0.7307614006514658,ROB,-0.17825435297395173,do,lora,base
0.6835,0.8458876221498371,ROB,-0.1919730445246691,do,adapter,base
0.7885,0.9075732899022801,ROB,-0.1311996410946613,eo,lora,large
0.7455,0.8860952768729642,ROB,-0.1586683515221137,ed,adapter,base
0.6835,0.8514861563517915,ROB,-0.1972858338314405,eo,adapter,base
0.771,0.9106270358306189,ROB,-0.15333065057008716,eo,plain,large
0.8075,0.9182614006514658,ROB,-0.12062077375013855,ed,adapter,large
0.717,0.8714372964169381,ROB,-0.177221352645719,eo,lora,base
0.731,0.8895561889250815,ROB,-0.17824190410802157,eo,adapter,large
0.7935,0.905435667752443,ROB,-0.12362630691399665,ed,lora,large
0.64,0.7947882736156352,ROB,-0.19475409836065574,do,lora,base
0.6335,0.7857288273615635,ROB,-0.19374219458479078,do,adapter,base
