,tgt,sr_corr,sr_pval,kt_corr,kt_pval
0,mnli,0.7810702770850401,1.0277724154330617e-14,0.6214137280822971,1.683832684283565e-13
1,snli-cf,0.9691127357090603,1.2587951570713844e-40,0.8649536487701274,1.2437498440882747e-24
2,conjnli,0.7071732183575017,3.2040798488316764e-11,0.5591222341446718,3.845499954544376e-11
3,matmnli,0.802901727510989,5.12731982838372e-16,0.6455076021754435,1.944411199203319e-14
4,hans,0.8310576671010182,5.871084615765188e-18,0.6649535614261974,3.3652579941460973e-15
5,taxinli,0.8059745116521357,3.2628956097109e-16,0.6503383911011428,1.2108138224870624e-14
6,snli-bt,0.9949896664033298,9.842424366686729e-66,0.9542271008155703,1.2039271181774735e-29
7,pmonli,0.8999906560111145,9.177627386197478e-25,0.7280087282801903,8.843278307865157e-18
