NSD,Gen_type,arch,ft,size
-0.15145007412623515,ROB,do,lora,large
-0.09964848066807507,ROB,eo,plain,base
-0.14060422368720746,ROB,eo,adapter,base
-0.14028582256069255,ROB,ed,lora,base
-0.09496096283371751,ROB,ed,plain,large
-0.11583861374314211,ROB,eo,plain,base
-0.13785732571787349,ROB,eo,lora,base
-0.1220106524094388,ROB,ed,adapter,base
-0.10415062831067336,ROB,do,plain,large
-0.10486453166943584,ROB,ed,lora,large
-0.18672559817500853,ROB,eo,lora,base
-0.10053994378558374,ROB,eo,adapter,large
-0.0972301152299806,ROB,ed,adapter,large
-0.10110613033137338,ROB,eo,plain,large
-0.11913875015184784,ROB,do,plain,base
