NSD,Gen_type,arch,ft,size
-0.30338367917899517,Comp,do,adapter,base
-0.3806905746472753,Comp,eo,adapter,base
-0.287707817438912,Comp,ed,plain,base
-0.2814854096301068,Comp,ed,adapter,large
-0.3296567265862824,Comp,eo,plain,base
-0.3331137599593705,Comp,eo,plain,large
-0.37797016025050656,Comp,do,lora,base
-0.27349300991545494,Comp,ed,plain,large
-0.33282223269932965,Comp,eo,adapter,large
-0.29284512815156666,Comp,eo,plain,large
-0.38060768690482544,Comp,eo,lora,base
-0.2645425268959464,Comp,ed,adapter,base
-0.23530188707254246,Comp,ed,lora,base
-0.39733317724713474,Comp,eo,lora,base
-0.38268134484004535,Comp,eo,adapter,base
-0.3123940416931393,Comp,do,plain,large
-0.3919091499021839,Comp,do,adapter,large
-0.34384845322888785,Comp,eo,lora,large
-0.3720604871393472,Comp,eo,adapter,large
-0.3556424827324851,Comp,do,plain,base
-0.3903173955278547,Comp,eo,lora,base
-0.3682989445236533,Comp,eo,adapter,base
-0.2518628702108876,Comp,ed,lora,base
-0.34213351244843165,Comp,eo,adapter,large
-0.29233398540950156,Comp,do,lora,large
-0.2589787939732044,Comp,ed,lora,large
-0.4781664744752402,Comp,do,adapter,base
-0.28331307562539554,Comp,ed,adapter,large
-0.3347731440520618,Comp,eo,plain,base
-0.39757287992233836,Comp,eo,adapter,base
-0.3519889631960757,Comp,eo,plain,base
-0.3160834096786892,Comp,eo,plain,large
-0.2961568487938888,Comp,eo,plain,large
-0.28101096127338737,Comp,ed,adapter,base
-0.41736270657028723,Comp,eo,lora,base
-0.3871692382611402,Comp,do,lora,base
-0.3945054799622632,Comp,eo,lora,large
-0.33086784761078286,Comp,do,plain,large
-0.36300264887229416,Comp,do,adapter,large
-0.38567602589235306,Comp,eo,adapter,base
-0.2783350460796002,Comp,do,lora,large
-0.3575782039521475,Comp,do,plain,base
-0.3699676859482111,Comp,eo,adapter,large
-0.3561564589411861,Comp,eo,lora,large
-0.26714659433424326,Comp,ed,plain,base
-0.34517639386553245,Comp,eo,plain,base
-0.27267040783178015,Comp,ed,lora,large
-0.2703803821553745,Comp,ed,plain,large
-0.3299152873350942,Comp,eo,adapter,large
-0.39214348189656006,Comp,eo,lora,base
-0.3705824020121188,Comp,eo,lora,large
-0.3379015641790189,Comp,eo,plain,large
-0.3816872449699169,Comp,eo,adapter,base
-0.3602429099258332,Comp,eo,plain,base
-0.26623167123104,Comp,ed,plain,base
-0.2794975639913978,Comp,ed,adapter,large
-0.339671289366646,Comp,eo,plain,base
-0.4285414798471003,Comp,do,adapter,base
-0.2691224586016913,Comp,ed,lora,large
-0.41495015124094314,Comp,do,lora,base
-0.3457760029431317,Comp,eo,lora,large
-0.2662809230031237,Comp,ed,plain,large
-0.3277928091028057,Comp,eo,adapter,large
-0.28756715344218575,Comp,eo,plain,large
-0.2884186337375019,Comp,ed,adapter,base
-0.34236847122032565,Comp,do,plain,large
-0.36888287488335303,Comp,do,adapter,large
-0.23484827566375882,Comp,ed,lora,base
-0.41439944034855253,Comp,eo,lora,base
-0.3902161995016924,Comp,do,lora,large
-0.3631461404594818,Comp,do,plain,base
-0.3675496295742162,Comp,eo,lora,large
-0.2575141556401243,OOD,do,adapter,large
-0.0940464796883353,OOD,ed,plain,base
-0.05974826787563758,OOD,ed,lora,base
-0.29145284716694697,OOD,do,lora,base
-0.052153572551128784,OOD,ed,plain,large
-0.08941890335324272,OOD,eo,adapter,large
-0.1974036238732484,OOD,do,plain,base
-0.1911307558463515,OOD,eo,adapter,large
-0.18716273537403075,OOD,eo,plain,base
-0.032053094674181756,OOD,ed,lora,large
-0.09486291335133627,OOD,ed,adapter,base
-0.12096673590543484,OOD,eo,plain,base
-0.15432109262115856,OOD,eo,lora,base
-0.3056669788040841,OOD,do,adapter,base
-0.14086612490388753,OOD,eo,adapter,base
-0.1670635998116022,OOD,do,plain,large
-0.27840870049402316,OOD,do,lora,large
-0.060225524757910515,OOD,ed,adapter,large
-0.09787250770021527,OOD,eo,lora,large
-0.08183254769076635,OOD,eo,plain,large
-0.18376401131368025,OOD,eo,plain,base
-0.21498048365756262,OOD,do,plain,base
-0.12171931228506357,OOD,eo,plain,base
-0.1559841651798787,OOD,eo,lora,base
-0.2094052815724591,OOD,eo,lora,large
-0.13495881053373415,OOD,eo,adapter,base
-0.09805966484242404,OOD,ed,adapter,base
-0.16423887244947205,OOD,do,plain,large
-0.08247444731265495,OOD,eo,plain,large
-0.15958742031889214,OOD,eo,plain,large
-0.0605516092721443,OOD,ed,adapter,large
-0.25849896464733374,OOD,do,adapter,large
-0.056285072755147346,OOD,ed,lora,base
-0.09075707882166704,OOD,ed,plain,base
-0.31917648630817674,OOD,do,lora,base
-0.23671855202903438,OOD,eo,adapter,base
-0.08115089773253881,OOD,eo,adapter,large
-0.2737857957035496,OOD,eo,lora,base
-0.052292702349793004,OOD,ed,plain,large
-0.216873516465779,OOD,eo,lora,large
-0.12538205833422267,OOD,eo,plain,base
-0.3346491807218132,OOD,do,adapter,base
-0.03320136669458216,OOD,ed,lora,large
-0.19291068509832254,OOD,eo,plain,base
-0.18462892029843567,OOD,eo,adapter,large
-0.2017658810583768,OOD,do,plain,base
-0.08171342419122239,OOD,eo,plain,large
-0.15997266214596692,OOD,eo,plain,large
-0.10473226364695835,OOD,eo,lora,large
-0.16095306437239065,OOD,do,plain,large
-0.22931045852635937,OOD,do,lora,large
-0.06736245890050277,OOD,ed,lora,base
-0.09325624727068292,OOD,ed,plain,base
-0.26286622998002956,OOD,eo,lora,base
-0.0520538930551069,OOD,ed,plain,large
-0.3228358090815546,OOD,do,lora,base
-0.23590020488260466,OOD,eo,adapter,base
-0.2315880638126429,OOD,do,adapter,large
-0.08867093987236957,OOD,eo,adapter,large
-0.2804265960550393,OOD,eo,lora,base
-0.23283011155478145,OOD,eo,adapter,base
-0.03320136669458216,OOD,ed,lora,large
-0.09447413503003399,OOD,ed,adapter,base
-0.15583063029469213,OOD,eo,lora,base
-0.1964821378090974,OOD,eo,lora,large
-0.3027684266720308,OOD,do,adapter,base
-0.14940516662920555,OOD,eo,adapter,base
-0.16668860062167212,OOD,eo,adapter,large
-0.09641621167945785,OOD,eo,lora,large
-0.06313195356187741,OOD,ed,adapter,large
-0.1569811027390023,OOD,eo,plain,large
-0.21517067456512723,OOD,do,lora,large
-0.3419780869291833,Comp,do,lora,large
-0.2758177092777274,Comp,do,plain,large
-0.32233941550994577,Comp,ed,lora,base
-0.3615388329979879,Comp,eo,plain,large
-0.41279139270771065,Comp,eo,adapter,base
-0.23276343682097742,Comp,ed,plain,large
-0.3720175936350672,Comp,eo,plain,base
-0.35531164201744414,Comp,do,plain,base
-0.3856157882069795,Comp,do,adapter,base
-0.4216027944581812,Comp,eo,lora,large
-0.29422403813415055,Comp,ed,plain,base
-0.2853866126673417,Comp,ed,lora,large
-0.23888091800851377,Comp,eo,adapter,large
-0.3855801184221499,Comp,eo,lora,base
-0.3753997343957503,Comp,do,lora,base
-0.2525930543187889,Comp,eo,plain,base
-0.42489646848109647,Comp,eo,lora,base
-0.43777703491700054,Comp,eo,adapter,large
-0.21740650835532097,Comp,eo,plain,large
-0.2905256168685509,Comp,eo,lora,large
-0.28372883338958266,Comp,ed,lora,large
-0.3826819152947091,Comp,eo,lora,base
-0.2805645522664886,Comp,eo,plain,base
-0.4254023998753312,Comp,eo,lora,base
-0.19967581340351687,Comp,do,adapter,large
-0.1898637356195501,Comp,eo,plain,large
